exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,success_rate,violation_rate,mean_ep_len,fail_rate,mean_energy,total_timesteps,actuator_dr_range,goal_x_min,goal_x_max,goal_tolerance,fault_goal_x_min,fault_goal_x_max,fault_goal_tolerance,friction_range,safety_max_pitch,safety_max_vspeed,safety_terminate,fault_strength,fault_indices,fault_start_step
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.5_t0,100,235.26152141431493,27.96561870483174,1.0,0.0,148.65,0.0,104.99041939304166,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(1,)",0
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.5_t50,100,235.16179985130736,27.2905221888116,1.0,0.0,148.65,0.0,105.59441057864333,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(1,)",50
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.5_t150,100,236.519736819256,27.220582365971666,1.0,0.0,149.74,0.0,99.70940214674775,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(1,)",150
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.3_t0,100,238.88535225677336,38.31530745589811,1.0,0.0,149.79,0.0,116.6976262463894,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(1,)",0
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.3_t50,100,239.13779562733126,37.69914786797569,1.0,0.0,150.01,0.0,117.63580187669373,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(1,)",50
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.3_t150,100,236.52825313155023,26.998356226772824,1.0,0.0,149.74,0.0,100.35399026679545,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(1,)",150
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.7_t0,100,200.67370009615192,80.4225288043331,0.8,0.0,143.59,0.19999999999999996,100.28947498047476,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(2,)",0
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.7_t50,100,188.57126029786906,85.7447946791187,0.73,0.0,140.46,0.27,96.52650374336285,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(2,)",50
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.7_t150,100,236.61821929581117,26.98099773516617,1.0,0.0,149.77,0.0,99.30263747341262,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(2,)",150
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.5_t0,100,135.9932201119188,94.47114401685916,0.41,0.0,133.1,0.5900000000000001,92.46629281514615,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",0
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.5_t50,100,132.48352926047562,96.03064926584395,0.4,0.0,130.15,0.6,87.66241534619476,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",50
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.5_t150,100,236.70364641662175,26.428081472757086,1.0,0.0,149.79,0.0,99.63786312516866,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(2,)",150
MSR_fast_noRes,0,target,eval_fault_goal,a2_s0.3_t0,100,96.54843771983452,88.0518915561491,0.18,0.0,125.93,0.8200000000000001,91.00292931897275,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(2,)",0
