exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,total_timesteps,actuator_dr_range,fault_strength,fault_indices,fault_start_step
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.7_t50,20,476.3487059393133,9.111722912010164,800000,0.2,0.7,"(2,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.7_t150,20,751.454549544412,26.596858034834685,800000,0.2,0.7,"(2,)",150
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.5_t0,20,345.4223601273085,1.208044580444898,800000,0.2,0.5,"(2,)",0
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.5_t50,20,348.3781568179435,1.6989464626499051,800000,0.2,0.5,"(2,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.5_t150,20,625.048063684304,3.853614651537483,800000,0.2,0.5,"(2,)",150
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.3_t0,20,268.25551558152574,1.6035173775065477,800000,0.2,0.3,"(2,)",0
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.3_t50,20,273.48357259890275,5.8224343986228915,800000,0.2,0.3,"(2,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.3_t150,20,586.784101588475,6.822683420230029,800000,0.2,0.3,"(2,)",150
resilient_actuatorDR_r0p20,2,target,eval,,20,1642.1682339162417,4.263591843584761,800000,0.2,,,
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.7_t0,20,1644.6896143217461,3.8066773814121904,800000,0.2,0.7,"(0,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.7_t50,20,1644.1359724498748,6.843689052390019,800000,0.2,0.7,"(0,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.7_t150,20,1644.8568486006534,3.526278469606748,800000,0.2,0.7,"(0,)",150
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.5_t0,20,1648.8837983084904,10.546455913968188,800000,0.2,0.5,"(0,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.5_t50,20,1640.2902598666792,9.687228749957997,800000,0.2,0.5,"(0,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.5_t150,20,1646.351415186853,7.54470680337444,800000,0.2,0.5,"(0,)",150
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.3_t0,20,1622.1881284429205,5.680872804444476,800000,0.2,0.3,"(0,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.3_t50,20,1622.4286747400317,4.811167086615008,800000,0.2,0.3,"(0,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a0_s0.3_t150,20,1637.7999388866033,12.222421141523613,800000,0.2,0.3,"(0,)",150
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.7_t0,20,1632.2560615734405,2.8175994271341263,800000,0.2,0.7,"(1,)",0
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.7_t50,20,1631.178278927544,4.224919537302887,800000,0.2,0.7,"(1,)",50
resilient_actuatorDR_r0p20,2,target,eval_fault,a1_s0.7_t150,20,1639.1612836322238,8.804895034168219,800000,0.2,0.7,"(1,)",150
